"method","cluster","pearson_lfc","pearson_padj","spearman_rho","n_genes"
"Wilcoxon","0",0.8500392857036,0.999974621107481,0.92186224328502,1030
"Wilcoxon","3",0.885476548742769,0.999914059322757,0.922728960784543,897
"Wilcoxon","1",0.861302262752749,0.999974100574691,0.914980714596467,1433
"Wilcoxon","2",0.88080886835126,0.999866654312971,0.930404470919525,866
"Wilcoxon","4",0.688307638203537,0.999451082648772,0.446495429816588,921
"Wilcoxon","5",0.862684947130659,0.999930566903974,0.764069028165825,610
"t-test","0",0.850316619423972,0.999979369589974,0.921927485625696,1030
"t-test","3",0.884713729866968,0.999909109016909,0.919332314819016,896
"t-test","1",0.862449921979304,0.999976849359163,0.917267828716921,1471
"t-test","2",0.881088837507674,0.999704451974519,0.928960051319215,886
"t-test","4",0.86579405862253,0.99888608134484,0.888191361317646,537
"t-test","5",0.895838689432746,0.999944253014983,0.500765667328625,1112
