"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.31524420689188e-301,-4.3040419511018,0.135,0.727,3.17512590533152e-297,"0","HLA-DRB1"
3.54195185617652e-294,-4.54097702001529,0.296,0.778,4.85743277556048e-290,"0","HLA-DRA"
1.67327815787735e-273,1.91808777606309,0.921,0.475,2.294733665713e-269,"0","LDHB"
3.32042337791034e-270,1.89667334829137,0.872,0.232,4.55362862046623e-266,"0","CD3D"
5.73842856199381e-263,-3.84466350444436,0.205,0.731,7.86968092991831e-259,"0","HLA-DPA1"
4.46342476713294e-250,-3.77013645041935,0.248,0.741,6.12114072564611e-246,"0","HLA-DPB1"
9.53484985383739e-242,-3.11330215262712,0.744,0.926,1.30760930895526e-237,"0","CD74"
1.37113684574058e-233,-5.31236344549032,0.132,0.616,1.88037707024863e-229,"0","TYROBP"
2.00181526988312e-228,-4.61726486835724,0.056,0.596,2.74528946111772e-224,"0","HLA-DRB5"
3.91727546533801e-209,0.882767820272743,1,0.988,5.37215157316454e-205,"0","RPS12"
2.22772619310431e-205,-4.74771096319235,0.098,0.572,3.05510370122325e-201,"0","FCER1G"
7.65770674440055e-195,-1.80599706996308,0.734,0.94,1.05017790292709e-190,"0","CYBA"
1.22255538419602e-193,-2.71545948297892,0.981,0.997,1.67661245388642e-189,"0","FTL"
4.72221350077065e-192,0.946106161090889,0.998,0.967,6.47604359495687e-188,"0","RPS25"
9.58260159392626e-192,0.819905906789956,0.999,0.989,1.31415798259105e-187,"0","RPS27"
2.42941020638683e-178,1.42745434202737,0.928,0.52,3.3316931570389e-174,"0","LTB"
1.31966674916304e-177,-4.8963626847872,0.191,0.569,1.80979097980219e-173,"0","CST3"
1.1494109226517e-173,0.735702646716397,1,0.992,1.57630213932454e-169,"0","RPS3"
1.61769561216239e-172,0.729605406393111,1,0.993,2.2185077625195e-168,"0","RPS6"
8.88131627032971e-172,1.81792074512969,0.767,0.257,1.21798371331302e-167,"0","CD3E"
2.73461798392778e-156,1.22225653135145,0.84,0.318,3.75025510315855e-152,"0","IL32"
3.03008690117402e-156,0.724720273989863,0.998,0.994,4.15546117627005e-152,"0","RPL3"
1.49570042620838e-153,0.896972020211383,0.997,0.955,2.05120356450217e-149,"0","RPS27A"
9.40431314830523e-152,0.789390868177311,0.999,0.973,1.28970750515858e-147,"0","RPL30"
2.25165579121664e-151,0.683698390617593,1,0.992,3.0879207520745e-147,"0","RPS14"
4.03912787020503e-150,0.866698174679057,0.997,0.952,5.53925996119918e-146,"0","RPL31"
1.19227324467376e-145,0.616428156714112,0.999,0.996,1.63508352774559e-141,"0","RPS18"
3.33854240270666e-145,-2.97266732242322,0.288,0.633,4.57847705107191e-141,"0","LGALS1"
4.08546004598561e-145,-5.95746732692268,0.161,0.519,5.60279990706466e-141,"0","S100A9"
3.52741219196242e-144,0.563144080173557,1,0.999,4.83749308005726e-140,"0","RPL13A"
6.99205813430625e-143,0.681566837302412,1,0.984,9.58890852538759e-139,"0","RPL23A"
9.69916396527661e-143,-4.06293992521928,0.161,0.517,1.33014334619803e-138,"0","LST1"
1.21185583817856e-142,0.814007146721192,0.997,0.961,1.66193909647808e-138,"0","RPL9"
5.42178551453726e-142,0.958044541360217,0.989,0.876,7.4354366546364e-138,"0","RPS29"
1.74628055045486e-141,0.687816692834697,0.999,0.987,2.39484914689379e-137,"0","RPLP2"
3.16423762745981e-141,2.15958198225686,0.659,0.193,4.33943548229839e-137,"0","IL7R"
5.4929980011941e-138,0.743498964575174,0.997,0.978,7.53309745883759e-134,"0","RPS15A"
5.77859315766045e-138,-4.15355384171676,0.049,0.444,7.92476265641554e-134,"0","HLA-DMA"
4.12668023569083e-137,-3.45628630546734,0.145,0.517,5.65932927522641e-133,"0","TYMP"
4.85496215788161e-135,-2.1938202282974,0.987,0.992,6.65809510331884e-131,"0","FTH1"
6.47721852122538e-134,0.580878556458125,1,0.995,8.88285748000848e-130,"0","RPL13"
2.68024436195097e-132,-4.42576928631164,0.103,0.454,3.67568711797956e-128,"0","FCN1"
4.70011443008578e-131,0.613643681140343,0.999,0.993,6.44573692941964e-127,"0","RPL32"
1.48615758167663e-130,-4.47252117627278,0.501,0.691,2.03811650751133e-126,"0","LYZ"
8.02213267106276e-128,0.691250346482421,0.998,0.988,1.10015527450955e-123,"0","RPL21"
3.46424927909937e-127,0.786685612321273,0.996,0.978,4.75087146135687e-123,"0","TPT1"
1.07844288115617e-126,-2.67136701885034,0.357,0.657,1.47897656721757e-122,"0","CTSS"
3.19606141279777e-125,0.634393234813289,0.999,0.983,4.38307862151086e-121,"0","RPL27A"
6.4666331532877e-124,-5.10297769332036,0.022,0.371,8.86834070641875e-120,"0","SPI1"
9.37596358344629e-124,-4.74156044913756,0.038,0.388,1.28581964583382e-119,"0","CFD"
1.09784251448352e-123,-1.48138019238645,0.869,0.948,1.5055812243627e-119,"0","OAZ1"
3.74967052352121e-121,0.815978646762028,0.996,0.968,5.14229815595699e-117,"0","RPS3A"
3.51223902428957e-120,-5.23035341687661,0.027,0.377,4.81668459791071e-116,"0","HLA-DQA1"
3.90609049418435e-120,-2.56536594719955,0.272,0.615,5.35681250372441e-116,"0","GSTP1"
1.20475397352551e-119,-5.91335616991115,0.096,0.425,1.65219959929288e-115,"0","S100A8"
1.78111895528437e-118,0.765903952599577,0.992,0.931,2.44262653527699e-114,"0","RPSA"
2.12667322431375e-117,-2.4049206255757,0.439,0.717,2.91651965982388e-113,"0","SAT1"
1.34286405950428e-116,0.598721332355791,1,0.999,1.84160377120417e-112,"0","MALAT1"
1.92754074701641e-116,-4.35225950794235,0.037,0.373,2.6434293804583e-112,"0","CD68"
1.92036355954423e-115,-5.48720559648465,0.034,0.36,2.63358658555896e-111,"0","LGALS2"
3.28594365636728e-112,0.642450615589255,0.997,0.988,4.50634313034209e-108,"0","EEF1A1"
6.70975640555177e-112,-3.30586649522014,0.221,0.501,9.2017599345737e-108,"0","AIF1"
1.06293145551828e-111,0.794164127844295,0.992,0.924,1.45770419809777e-107,"0","RPS20"
7.76119122010608e-109,-2.16031451075514,0.351,0.641,1.06436976392535e-104,"0","PSAP"
6.91055615509403e-107,-2.54012574788347,0.181,0.53,9.47713671109595e-103,"0","PYCARD"
7.71931601267564e-107,1.75869690513133,0.643,0.255,1.05862699797834e-102,"0","NOSIP"
2.81630097361972e-106,-3.88024536750539,0.037,0.362,3.86227515522209e-102,"0","FGR"
5.36282876785785e-105,-3.85392911577672,0.047,0.37,7.35458337224026e-101,"0","CEBPD"
