"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.49880628630302e-237,1.91808777606309,0.921,0.475,1.0283862941036e-232,"0","LDHB"
4.57313094925074e-231,0.882767820272743,1,0.988,6.27159178380246e-227,"0","RPS12"
3.82113163765812e-227,-4.3040419511018,0.135,0.727,5.24029992788434e-223,"0","HLA-DRB1"
1.08228761963025e-219,-3.11330215262712,0.744,0.926,1.48424924156092e-215,"0","CD74"
4.04060082290506e-217,-1.80599706996308,0.734,0.94,5.541279968532e-213,"0","CYBA"
1.92004591275631e-216,-4.54097702001529,0.296,0.778,2.63315096475401e-212,"0","HLA-DRA"
1.19096646013897e-206,0.946106161090889,0.998,0.967,1.63329140343459e-202,"0","RPS25"
7.5460874626073e-204,1.89667334829137,0.872,0.232,1.03487043462197e-199,"0","CD3D"
8.39491632348129e-203,-3.84466350444436,0.205,0.731,1.15127882460222e-198,"0","HLA-DPA1"
1.69304497806116e-195,-3.77013645041935,0.248,0.741,2.32184188291307e-191,"0","HLA-DPB1"
8.49701497317427e-193,0.819905906789956,0.999,0.989,1.16528063342112e-188,"0","RPS27"
1.35396393572923e-191,0.735702646716397,1,0.992,1.85682614145907e-187,"0","RPS3"
6.67773373992842e-187,0.729605406393111,1,0.993,9.15784405093784e-183,"0","RPS6"
1.54893554441745e-185,-4.61726486835724,0.056,0.596,2.12421020561409e-181,"0","HLA-DRB5"
6.2622028059754e-173,0.683698390617593,1,0.992,8.58798492811466e-169,"0","RPS14"
2.6353011832048e-172,-5.31236344549032,0.132,0.616,3.61405204264707e-168,"0","TYROBP"
2.75626585884383e-168,0.724720273989863,0.998,0.994,3.77994299881842e-164,"0","RPL3"
5.28676457484875e-168,0.866698174679057,0.997,0.952,7.25026893794758e-164,"0","RPL31"
6.61803534314311e-167,0.786685612321273,0.996,0.978,9.07597366958647e-163,"0","TPT1"
1.66369029758798e-165,0.789390868177311,0.999,0.973,2.28158487411216e-161,"0","RPL30"
4.37974924258902e-162,0.896972020211383,0.997,0.955,6.00638811128659e-158,"0","RPS27A"
2.2883737003128e-160,-4.74771096319235,0.098,0.572,3.13827569260897e-156,"0","FCER1G"
7.05169975678285e-159,0.743498964575174,0.997,0.978,9.67070104645201e-155,"0","RPS15A"
1.08908452633119e-157,0.814007146721192,0.997,0.961,1.4935705194106e-153,"0","RPL9"
5.19514486273909e-155,0.687816692834697,0.999,0.987,7.12462166476039e-151,"0","RPLP2"
6.35070783657981e-155,0.613643681140343,0.999,0.993,8.70936072708555e-151,"0","RPL32"
3.11798917828504e-154,0.642450615589255,0.997,0.988,4.2760103591001e-150,"0","EEF1A1"
1.48348150639051e-152,0.616428156714112,0.999,0.996,2.03444653786394e-148,"0","RPS18"
6.15954788951476e-150,1.81792074512969,0.767,0.257,8.44720397568055e-146,"0","CD3E"
5.15127793705923e-149,-1.48138019238645,0.869,0.948,7.06446256288303e-145,"0","OAZ1"
5.50900499711675e-149,0.958044541360217,0.989,0.876,7.55504945304592e-145,"0","RPS29"
8.14332609055646e-145,0.580878556458125,1,0.995,1.11677574005891e-140,"0","RPL13"
1.48393006235368e-142,0.681566837302412,1,0.984,2.03506168751183e-138,"0","RPL23A"
