"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.07658585978511e-269,-4.32818711105506,0.129,0.724,1.47642984810931e-265,"0","HLA-DRB1"
1.41385670472094e-258,0.885854432062119,1,0.988,1.9389630848543e-254,"0","RPS12"
5.06798590028754e-258,-4.61680013661049,0.293,0.774,6.95023586365433e-254,"0","HLA-DRA"
4.39146468146051e-257,1.9481292477826,0.926,0.477,6.02245466415495e-253,"0","LDHB"
1.4953393635574e-230,1.84598783742962,0.874,0.239,2.05070840318262e-226,"0","CD3D"
2.33023081300652e-229,0.930004169910724,0.999,0.967,3.19567853695714e-225,"0","RPS25"
4.92435653234396e-228,-3.80426655211005,0.203,0.726,6.75326254845651e-224,"0","HLA-DPA1"
6.59601540074305e-228,-3.13755049018882,0.741,0.927,9.04577552057902e-224,"0","CD74"
1.7414046910917e-225,-4.74797569602798,0.051,0.592,2.38816239336316e-221,"0","HLA-DRB5"
7.57703769098761e-220,0.811460431086766,0.999,0.989,1.03911494894204e-215,"0","RPS27"
2.97020476444776e-219,-5.36268055551928,0.128,0.613,4.07333881396366e-215,"0","TYROBP"
3.89434520792932e-219,-3.7726023595925,0.246,0.737,5.34070501815426e-215,"0","HLA-DPB1"
9.46354636104726e-200,0.735374822639558,1,0.993,1.29783074795402e-195,"0","RPS6"
4.22468215588804e-194,0.720829674826148,1,0.993,5.79372910858486e-190,"0","RPS3"
4.87042406474157e-194,-4.78832928571131,0.097,0.567,6.67929956238658e-190,"0","FCER1G"
9.11275524619781e-190,-1.80710615722005,0.735,0.937,1.24972325446357e-185,"0","CYBA"
1.20302722603954e-179,0.688915614590186,1,0.993,1.64983153779063e-175,"0","RPS14"
2.34024966289485e-178,0.866419345415975,0.997,0.953,3.209418387694e-174,"0","RPL31"
2.67355971920825e-178,-2.69026947804396,0.981,0.997,3.66651979892219e-174,"0","FTL"
1.8985554118261e-174,0.781615009838005,1,0.973,2.60367889177832e-170,"0","RPL30"
5.47193409527246e-173,0.748494698493637,0.997,0.978,7.50421041825665e-169,"0","RPS15A"
8.46506556670872e-173,0.888381837199959,0.997,0.956,1.16089909181843e-168,"0","RPS27A"
5.67451477920065e-170,0.710017687994203,0.998,0.994,7.78202956819577e-166,"0","RPL3"
3.16601716892075e-165,0.814213469050284,0.997,0.962,4.34187594545792e-161,"0","RPL9"
5.2698312301548e-165,0.682398302402166,0.999,0.987,7.22704654903429e-161,"0","RPLP2"
4.84285965763642e-164,0.620900968819289,0.999,0.993,6.64149773448259e-160,"0","RPL32"
1.06473636182513e-161,1.41192111699607,0.931,0.523,1.46017944660699e-157,"0","LTB"
4.05972045510313e-160,-4.853825429908,0.194,0.561,5.56750063212843e-156,"0","CST3"
5.20479938955422e-158,0.614442559404493,0.999,0.996,7.13786188283466e-154,"0","RPS18"
6.05421495834188e-158,1.78030577309156,0.768,0.263,8.30275039387005e-154,"0","CD3E"
2.14803643346456e-156,0.570006456921321,1,0.999,2.9458171648533e-152,"0","RPL13A"
2.45999966223255e-156,0.664293192314503,1,0.984,3.37364353678571e-152,"0","RPL23A"
4.38806497203833e-155,0.786298160343142,0.996,0.978,6.01779230265337e-151,"0","TPT1"
