"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.05960295051179e-304,-4.32818711105506,0.129,0.724,1.45313948633187e-300,"0","HLA-DRB1"
4.60763305960267e-295,-4.61680013661049,0.293,0.774,6.3189079779391e-291,"0","HLA-DRA"
1.73919840007578e-284,1.9481292477826,0.926,0.477,2.38513668586392e-280,"0","LDHB"
6.20339052631508e-265,1.84598783742962,0.874,0.239,8.5073297677885e-261,"0","CD3D"
2.93258834769884e-259,-3.80426655211005,0.203,0.726,4.02175166003419e-255,"0","HLA-DPA1"
6.34627228721169e-249,-3.7726023595925,0.246,0.737,8.70327781468211e-245,"0","HLA-DPB1"
1.10545405960063e-246,-3.13755049018882,0.741,0.927,1.51601969733631e-242,"0","CD74"
5.00572301952951e-235,-5.36268055551928,0.128,0.613,6.86484854898277e-231,"0","TYROBP"
1.41728285414668e-231,-4.74797569602798,0.051,0.592,1.94366170617676e-227,"0","HLA-DRB5"
1.24713484453611e-211,0.885854432062119,1,0.988,1.71032072579682e-207,"0","RPS12"
3.18397254902093e-205,-4.78832928571131,0.097,0.567,4.36649995372731e-201,"0","FCER1G"
2.41888968909234e-192,0.930004169910724,0.999,0.967,3.31726531962123e-188,"0","RPS25"
2.67453093938553e-191,0.811460431086766,0.999,0.989,3.66785173027332e-187,"0","RPS27"
2.23675568441723e-189,-1.80710615722005,0.735,0.937,3.06748674560978e-185,"0","CYBA"
5.07572750298195e-188,-2.69026947804396,0.981,0.997,6.96085269758945e-184,"0","FTL"
2.32676384614601e-178,1.41192111699607,0.931,0.523,3.19092393860464e-174,"0","LTB"
1.57874040620495e-175,0.735374822639558,1,0.993,2.16508459306947e-171,"0","RPS6"
8.70411988203626e-174,-4.853825429908,0.194,0.561,1.19368300062245e-169,"0","CST3"
1.70092548096438e-170,0.720829674826148,1,0.993,2.33264920459455e-166,"0","RPS3"
3.24645512976896e-166,1.78030577309156,0.768,0.263,4.45218856496515e-162,"0","CD3E"
3.62149548620452e-154,0.688915614590186,1,0.993,4.96651890978087e-150,"0","RPS14"
1.40555239820299e-153,0.710017687994203,0.998,0.994,1.92757455889558e-149,"0","RPL3"
2.13475269252533e-153,0.888381837199959,0.997,0.956,2.92759984252924e-149,"0","RPS27A"
2.3317792118574e-153,0.781615009838005,1,0.973,3.19780201114124e-149,"0","RPL30"
2.64827210682317e-150,0.570006456921321,1,0.999,3.6318403672973e-146,"0","RPL13A"
1.30246080533634e-149,0.866419345415975,0.997,0.953,1.78619474843826e-145,"0","RPL31"
1.03496305222189e-148,1.18765120696066,0.838,0.327,1.41934832981709e-144,"0","IL32"
1.86158183018591e-148,-2.99601299255322,0.281,0.634,2.55297332191696e-144,"0","LGALS1"
9.29963623006467e-145,0.614442559404493,0.999,0.996,1.27535211259107e-140,"0","RPS18"
3.4182722010114e-144,-5.94527524732046,0.161,0.515,4.68781849646704e-140,"0","S100A9"
1.22865764457303e-143,0.814213469050284,0.997,0.962,1.68498109376746e-139,"0","RPL9"
4.32267021353341e-143,-4.09634923999247,0.159,0.514,5.92810993083972e-139,"0","LST1"
9.90422523074757e-143,0.94713574565816,0.99,0.877,1.35826544814472e-138,"0","RPS29"
3.81927754290317e-142,0.748494698493637,0.997,0.978,5.2377572223374e-138,"0","RPS15A"
5.95623526833954e-141,0.682398302402166,0.999,0.987,8.16838104700084e-137,"0","RPLP2"
1.20472888247524e-139,0.664293192314503,1,0.984,1.65216518942655e-135,"0","RPL23A"
2.14571162617659e-138,2.11677920147996,0.662,0.197,2.94262892413857e-134,"0","IL7R"
1.35901529930206e-137,-4.14753666718626,0.048,0.44,1.86375358146285e-133,"0","HLA-DMA"
3.57900072453931e-137,0.620900968819289,0.999,0.993,4.90824159363321e-133,"0","RPL32"
2.86946679919335e-136,-3.45854160666466,0.144,0.513,3.93518676841376e-132,"0","TYMP"
1.04332063234672e-135,0.577988082731067,1,0.995,1.43080991520029e-131,"0","RPL13"
2.06737553242944e-134,-2.18112302737432,0.986,0.993,2.83519880517373e-130,"0","FTH1"
5.15231598876758e-132,-4.42442107212477,0.103,0.45,7.06588614699586e-128,"0","FCN1"
2.3857215147042e-131,0.786298160343142,0.996,0.978,3.27177848526534e-127,"0","TPT1"
7.342538106867e-129,0.640684785729389,0.999,0.984,1.00695567597574e-124,"0","RPL27A"
4.00828881478512e-128,-4.44803062440324,0.503,0.687,5.49696728059632e-124,"0","LYZ"
1.24697854587042e-127,0.684571404629751,0.998,0.988,1.7101063778067e-123,"0","RPL21"
3.88251916871386e-126,-1.51295899937232,0.867,0.948,5.32448678797418e-122,"0","OAZ1"
1.70846432618829e-124,-2.65633490497591,0.357,0.653,2.34298797693462e-120,"0","CTSS"
