"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.1431101353693e-244,1.9481292477826,0.926,0.477,7.05326123964546e-240,"0","LDHB"
3.39700845389953e-231,0.885854432062119,1,0.988,4.65865739367781e-227,"0","RPS12"
4.5734291798427e-226,-4.32818711105506,0.129,0.724,6.27200077723628e-222,"0","HLA-DRB1"
3.69409945582283e-223,-3.13755049018882,0.741,0.927,5.06608799371542e-219,"0","CD74"
2.67317342524019e-214,-4.61680013661049,0.293,0.774,3.66599003537439e-210,"0","HLA-DRA"
7.29599841998334e-213,-1.80710615722005,0.735,0.937,1.00057322331652e-208,"0","CYBA"
4.03560790912975e-202,0.930004169910724,0.999,0.967,5.53443268658054e-198,"0","RPS25"
9.67685911965531e-200,1.84598783742962,0.874,0.239,1.32708445966953e-195,"0","CD3D"
5.92247457198146e-198,-3.80426655211005,0.203,0.726,8.12208162801537e-194,"0","HLA-DPA1"
2.52440654900307e-192,-3.7726023595925,0.246,0.737,3.4619711413028e-188,"0","HLA-DPB1"
3.23498251012817e-190,0.811460431086766,0.999,0.989,4.43645501438977e-186,"0","RPS27"
3.84757350226527e-189,0.735374822639558,1,0.993,5.27656230100659e-185,"0","RPS6"
7.57699341053964e-186,0.720829674826148,1,0.993,1.03910887632141e-181,"0","RPS3"
1.02695074331851e-184,-4.74797569602798,0.051,0.592,1.40836024938701e-180,"0","HLA-DRB5"
4.97865825274264e-176,0.688915614590186,1,0.993,6.82773192781126e-172,"0","RPS14"
4.36688731540138e-171,0.786298160343142,0.996,0.978,5.98874926434146e-167,"0","TPT1"
1.27285845466013e-170,-5.36268055551928,0.128,0.613,1.7455980847209e-166,"0","TYROBP"
5.72904362063753e-169,0.866419345415975,0.997,0.953,7.85681042134231e-165,"0","RPL31"
3.34198915307624e-164,0.710017687994203,0.998,0.994,4.58320392452876e-160,"0","RPL3"
3.41864139832188e-163,0.781615009838005,1,0.973,4.68832481365863e-159,"0","RPL30"
6.29254155237426e-163,0.748494698493637,0.997,0.978,8.62959148492606e-159,"0","RPS15A"
8.4542017114097e-160,0.888381837199959,0.997,0.956,1.15940922270273e-155,"0","RPS27A"
4.06175146777198e-159,0.620900968819289,0.999,0.993,5.5702859629025e-155,"0","RPL32"
2.41143913372695e-157,0.814213469050284,0.997,0.962,3.30704762799314e-153,"0","RPL9"
5.41253178897929e-157,-4.78832928571131,0.097,0.567,7.4227460954062e-153,"0","FCER1G"
4.12611826376117e-154,0.682398302402166,0.999,0.987,5.65855858692206e-150,"0","RPLP2"
1.97477022463247e-150,-1.51295899937232,0.867,0.948,2.70819988606097e-146,"0","OAZ1"
3.86560938059471e-150,0.633463316147771,0.997,0.988,5.30129670454758e-146,"0","EEF1A1"
6.26925608458746e-150,0.614442559404493,0.999,0.996,8.59765779440324e-146,"0","RPS18"
1.22212651368566e-147,0.94713574565816,0.99,0.877,1.67602430086852e-143,"0","RPS29"
1.1001321174316e-145,1.78030577309156,0.768,0.263,1.5087211858457e-141,"0","CD3E"
2.21150761954264e-145,0.640684785729389,0.999,0.984,3.03286154944077e-141,"0","RPL27A"
2.32434273621774e-145,0.577988082731067,1,0.995,3.18760362844901e-141,"0","RPL13"
1.53881587771577e-140,0.570006456921321,1,0.999,2.1103320946994e-136,"0","RPL13A"
3.33530552873747e-138,1.41192111699607,0.931,0.523,4.57403800211056e-134,"0","LTB"
2.1637152758361e-136,0.664293192314503,1,0.984,2.96731912928162e-132,"0","RPL23A"
2.02355861175279e-135,0.811991815263968,0.996,0.969,2.77510828015778e-131,"0","RPS3A"
6.96163415846566e-135,2.11677920147996,0.662,0.197,9.54718508491981e-131,"0","IL7R"
6.77182928028659e-133,-2.69026947804396,0.981,0.997,9.28688667498502e-129,"0","FTL"
4.53920670954879e-132,0.684571404629751,0.998,0.988,6.22506808147521e-128,"0","RPL21"
1.4793328028583e-128,0.762007625928945,0.992,0.932,2.02875700583987e-124,"0","RPSA"
1.85413396965347e-126,0.750590445864566,0.986,0.953,2.54275932598277e-122,"0","RPS13"
1.05977030264937e-125,0.498626283600042,1,0.994,1.45336899305335e-121,"0","RPL11"
1.32099104012471e-125,0.627419832895868,0.998,0.975,1.81160711242702e-121,"0","RPL35A"
8.25407892054359e-125,0.801866041349301,0.991,0.925,1.13196438316335e-120,"0","RPS20"
3.70632272013069e-122,0.578240497711479,0.998,0.989,5.08285097838723e-118,"0","RPS4X"
6.15409790733917e-122,0.697823929898842,0.991,0.961,8.43972987012494e-118,"0","RPS28"
